study_id,end_time_wk,outcome_domain,scale,direction,metric,is_converted,conversion_method,arm_id,mean,sd,n,events,total,notes
linlinan_2024,12,depression,HAMD-17,lower_better,endpoint,No,NA,A,12.61,2.67,70,,,baseline 20.37±2.19
linlinan_2024,12,depression,HAMD-17,lower_better,endpoint,No,NA,B,12.13,2.88,70,,,baseline 20.74±3.10
linlinan_2024,12,anxiety,HAMA,lower_better,endpoint,No,NA,A,5.97,2.29,70,,,baseline 24.96±7.04
linlinan_2024,12,anxiety,HAMA,lower_better,endpoint,No,NA,B,5.36,2.01,70,,,baseline 23.39±6.11
linlinan_2024,12,neuro_deficit,NIHSS,lower_better,endpoint,No,NA,A,8.77,4.65,70,,,baseline 12.64±5.70
linlinan_2024,12,neuro_deficit,NIHSS,lower_better,endpoint,No,NA,B,7.64,3.81,70,,,baseline 11.57±5.06
linlinan_2024,12,cognition,MMSE,higher_better,endpoint,No,NA,A,22.67,4.18,70,,,baseline 18.10±6.49
linlinan_2024,12,cognition,MMSE,higher_better,endpoint,No,NA,B,23.10,3.73,70,,,baseline 17.10±4.25
linlinan_2024,12,sleep,ISI,lower_better,endpoint,No,NA,A,10.29,4.66,70,,,baseline 13.26±4.72
linlinan_2024,12,sleep,ISI,lower_better,endpoint,No,NA,B,8.59,4.46,70,,,baseline 13.90±4.93
linlinan_2024,12,sleep,ESS,lower_better,endpoint,No,NA,A,4.06,2.00,70,,,baseline 6.30±2.34
linlinan_2024,12,sleep,ESS,lower_better,endpoint,No,NA,B,3.19,1.92,70,,,baseline 6.41±2.39
linlinan_2024,12,fatigue,FSS,lower_better,endpoint,No,NA,A,28.81,11.14,70,,,baseline 33.89±10.74
linlinan_2024,12,fatigue,FSS,lower_better,endpoint,No,NA,B,23.71,13.92,70,,,baseline 33.81±14.73
wiart_2000,6,depression,MADRS,lower_better,endpoint,No,NA,A,18.70,10.00,15,,,baseline 27.20±6.30
wiart_2000,6,depression,MADRS,lower_better,endpoint,No,NA,B,11.80,6.70,16,,,baseline 28.50±7.70
wiart_2000,6,depression,MADRS_response50,higher_better,binary,No,NA,A,,,15,5,15,≥50% reduction
wiart_2000,6,depression,MADRS_response50,higher_better,binary,No,NA,B,,,16,10,16,≥50% reduction
wiart_2000,6,cognition,MMSE,higher_better,endpoint,No,NA,A,26.20,3.00,15,,,baseline 24.10±2.90
wiart_2000,6,cognition,MMSE,higher_better,endpoint,No,NA,B,24.80,3.90,16,,,baseline 23.50±3.50
wiart_2000,6,function,FIM,higher_better,endpoint,No,NA,A,88.70,25.30,15,,,baseline 72.30±20.90
wiart_2000,6,function,FIM,higher_better,endpoint,No,NA,B,87.40,22.80,16,,,baseline 62.70±17.60
kimjs_2017_emotion,12,depression,MADRS_ge16,lower_better,binary,No,NA,A,, ,195,25,195,Primary endpoint: MADRS≥16 at 3m
kimjs_2017_emotion,12,depression,MADRS_ge16,lower_better,binary,No,NA,B,, ,210,27,210,
kimjs_2017_emotion,12,depression,MADRS_lt8,higher_better,binary,No,NA,A,, ,195,117,195,Post-hoc MADRS<8
kimjs_2017_emotion,12,depression,MADRS_lt8,higher_better,binary,No,NA,B,, ,210,148,210,
kimjs_2017_emotion,12,cognition,MoCA,higher_better,endpoint,No,NA,A,21.60,6.50,195,,,"baseline 19.30±6.70"
kimjs_2017_emotion,12,cognition,MoCA,higher_better,endpoint,No,NA,B,20.50,7.40,210,,,"baseline 18.00±7.10"
kimjs_2017_emotion,12,function,BI,higher_better,endpoint,No,NA,A,84.60,23.00,195,,,"baseline 65.00±26.90"
